,symbol,price,action,reason,spot_price
2025-06-02 10:34:44.756964+05:30,NSE:NIFTY2561224850CE,212.0,-1,Entry - Short Call Spread - Sell Call,24591.0
2025-06-02 10:34:44.756965+05:30,NSE:NIFTY2561225100CE,128.0,1,Entry - Short Call Spread - Buy Call,24591.0
2025-06-05 12:16:10.953564+05:30,NSE:NIFTY2561224850CE,241.4,1,Exit - Supertrend Signal Change - Buy Back Call,24876.45
2025-06-05 12:16:10.953565+05:30,NSE:NIFTY2561225100CE,125.1,-1,Exit - Supertrend Signal Change - Sell Call,24876.45
2025-06-05 13:16:14.101228+05:30,NSE:NIFTY2561224650PE,116.25,-1,Entry - Long Put Spread - Sell Put,24779.7
2025-06-05 13:16:14.101229+05:30,NSE:NIFTY2561224350PE,46.05,1,Entry - Long Put Spread - Buy Put,24779.7
2025-06-12 13:58:55.803360+05:30,NSE:NIFTY2561224650PE,1.4,1,Exit - Supertrend Signal Change - Buy Back Put,24897.5
2025-06-12 13:58:55.803361+05:30,NSE:NIFTY2561224350PE,0.35,-1,Exit - Supertrend Signal Change - Sell Put,24897.5
2025-06-12 14:58:58.128044+05:30,NSE:NIFTY2561925150CE,85.75,-1,Entry - Short Call Spread - Sell Call,24905.55
2025-06-12 14:58:58.128045+05:30,NSE:NIFTY2561925400CE,31.55,1,Entry - Short Call Spread - Buy Call,24905.55
2025-06-16 13:16:40.102639+05:30,NSE:NIFTY2561925150CE,59.05,1,Exit - Supertrend Signal Change - Buy Back Call,24936.25
2025-06-16 13:16:40.102640+05:30,NSE:NIFTY2561925400CE,16.25,-1,Exit - Supertrend Signal Change - Sell Call,24936.25
2025-06-16 14:16:43.108546+05:30,NSE:NIFTY25JUN24800PE,157.05,-1,Entry - Long Put Spread - Sell Put,24960.75
2025-06-16 14:16:43.108547+05:30,NSE:NIFTY25JUN24450PE,77.3,1,Entry - Long Put Spread - Buy Put,24960.75
2025-06-27 09:16:08.636483+05:30,NSE:NIFTY25JUN24800PE,0.05,1,Exit - Exit Before Expiry - Buy Back Put,25607.75
2025-06-27 09:16:08.636484+05:30,NSE:NIFTY25JUN24450PE,0.05,-1,Exit - Exit Before Expiry - Sell Put,25607.75
2025-06-27 10:16:11.769379+05:30,NSE:NIFTY2570325450PE,95.4,-1,Entry - Long Put Spread - Sell Put,25576.1
2025-06-27 10:16:11.769380+05:30,NSE:NIFTY2570325150PE,35.65,1,Entry - Long Put Spread - Buy Put,25576.1
2025-07-02 14:16:12.930718+05:30,NSE:NIFTY2570325450PE,81.2,1,Exit - Supertrend Signal Change - Buy Back Put,25417.7
2025-07-02 14:16:12.930719+05:30,NSE:NIFTY2570325150PE,8.75,-1,Exit - Supertrend Signal Change - Sell Put,25417.7
2025-07-02 15:16:16.933406+05:30,NSE:NIFTY2571025700CE,83.8,-1,Entry - Short Call Spread - Sell Call,25455.35
2025-07-02 15:16:16.933407+05:30,NSE:NIFTY2571025950CE,31.45,1,Entry - Short Call Spread - Buy Call,25455.35
2025-07-11 09:16:06.831772+05:30,NSE:NIFTY2571025700CE,0.05,1,Exit - Exit Before Expiry - Buy Back Call,25268.35
2025-07-11 09:16:06.831773+05:30,NSE:NIFTY2571025950CE,0.0,-1,Exit - Exit Before Expiry - Sell Call,25268.35
2025-07-11 10:16:09.595813+05:30,NSE:NIFTY2571725450CE,56.9,-1,Entry - Short Call Spread - Sell Call,25253.1
2025-07-11 10:16:09.595814+05:30,NSE:NIFTY2571725750CE,12.8,1,Entry - Short Call Spread - Buy Call,25253.1
